id;temp;type
844;62.83;mf
50;63.25;mf
701;68.88;mf
824;63.79;mf
329;62.71;mf
681;61.99;mf
68;72.61;mf
978;73.25;mf
1058;67.41;mf
266;62.04;mf
976;62.78;mf
1035;62.67;mf
904;60.76;mf
1013;66.81;mf
895;69.52;mf
796;68.87;mf
423;68.46;mf
159;65.73;mf
718;63.78;mf
802;60.75;mf
202;57.35;mf
664;59.05;mf
262;59.16;mf
472;58.78;mf
929;65.54;mf
493;67.99;mf
328;77.85;mf
449;67.31;mf
848;61.84;mf
967;64.45;mf
754;77.28;mf
226;72.76;mf
261;69.45;mf
1179;68.22;mf
565;71.51;mf
1095;66.6;mf
920;63.95;mf
456;68.56;mf
99;68.36;mf
799;66.78;mf
650;71.14;mf
548;67.9;mf
905;67.77;mf
47;64.42;mf
1150;66.85;mf
109;67.4;mf
1055;76.06;mf
749;70.72;mf
165;67.53;mf
251;62.27;mf
636;59.36;mf
225;64.83;mf
484;69.37;mf
523;73.5;mf
776;79.68;mf
488;71.56;mf
123;66.73;mf
786;68.36;mf
380;69.81;mf
910;66.94;mf
695;70.9;mf
143;76.18;mf
306;72.38;mf
1007;67.32;mf
459;66.32;mf
1176;67;mf
82;71.79;mf
1131;73.11;mf
629;69.56;mf
790;70.49;mf
663;70.07;mf
394;75.14;mf
745;67.22;mf
1123;60.32;mf
821;61.42;mf
462;64.59;mf
469;67.64;mf
653;63.28;mf
827;66.52;mf
448;63;mf
42;66.1;mf
528;71.63;mf
353;70.65;mf
865;66.69;mf
1172;74.87;mf
360;81.5;mf
235;81.26;mf
775;78.93;mf
764;79.23;mf
772;79.6;mf
1091;76.95;mf
564;74.84;mf
60;73.78;mf
10;75.43;mf
183;77.98;mf
258;80.25;mf
127;77.66;mf
1133;78.87;mf
826;78.45;mf
719;76.51;mf
187;72.2;mf
532;71.59;mf
209;76.4;mf
1185;81.11;mf
726;82.23;mf
631;82.25;mf
547;82.14;mf
774;84.05;mf
177;79.11;mf
426;82.37;mf
12;84.64;mf
1071;84.3;mf
341;80.52;mf
659;82.1;mf
5;81.28;mf
693;84.36;mf
931;83.42;mf
797;84.43;mf
609;84.28;mf
1015;85.14;mf
96;83.56;mf
404;83.65;mf
257;85.11;mf
233;88.43;mf
981;88.63;mf
537;89.09;mf
877;83.04;mf
708;73.08;mf
785;76.33;mf
416;82.58;mf
240;85.33;mf
168;86.64;mf
221;89.79;mf
923;86.32;mf
637;87.75;mf
406;86.12;mf
41;83.99;mf
9;82.49;mf
511;77.07;mf
101;85.41;mf
930;88.59;mf
154;90.04;mf
387;87.28;mf
189;84.54;mf
342;86.52;mf
945;87.59;mf
861;82.32;mf
259;76.91;mf
969;74.29;mf
269;77.49;mf
326;83.17;mf
211;85.25;mf
310;85.71;mf
59;81.54;mf
476;82.65;mf
570;91.65;mf
112;85.85;mf
161;82.45;mf
274;84.98;mf
158;83.89;mf
662;85.65;mf
107;86.4;mf
518;90.31;mf
1059;87.03;mf
405;84.55;mf
723;83.36;mf
1019;86.78;mf
758;87.48;mf
757;86.67;mf
1087;88.5;mf
49;86.15;mf
1016;85.06;mf
845;74.63;mf
300;73.04;mf
214;76.25;mf
1111;77.91;mf
22;79.7;mf
56;82.25;mf
115;81.64;mf
463;75.98;mf
816;74.94;mf
1003;79.26;mf
671;82.73;mf
100;83.09;mf
572;76.5;mf
312;74.35;mf
1126;79.11;mf
457;80.57;mf
1051;80.2;mf
832;84.11;mf
922;85.96;mf
606;81.84;mf
97;82.19;mf
842;83.51;mf
1053;76.83;mf
1064;81.97;mf
580;83.34;mf
343;78.52;mf
933;76.04;mf
551;79.84;mf
985;80.5;mf
78;87.75;mf
247;89.73;mf
244;85.63;mf
556;76.4;mf
970;77.94;mf
304;84.61;mf
210;85;mf
4;79.78;mf
721;79.66;mf
902;77.27;mf
208;79.08;mf
381;75.21;mf
1184;76.35;mf
21;74.25;mf
1144;73;mf
376;68.32;mf
75;69.47;mf
562;65.4;mf
737;73.74;mf
124;80.21;mf
2;80.15;mf
370;76;mf
998;69.55;mf
977;67.77;mf
837;64.69;mf
889;63.91;mf
273;64.64;mf
490;64.23;mf
169;74.14;mf
51;74.96;mf
178;77.62;mf
730;73.43;mf
181;68.75;mf
48;70.53;mf
1187;72.64;mf
465;72.47;mf
1068;74.7;mf
1039;80.62;mf
958;75.66;mf
114;64.29;mf
401;64.36;mf
517;71.88;mf
979;78.48;mf
620;80.99;mf
753;71.81;mf
144;73.67;mf
1127;72.15;mf
399;73.29;mf
541;66.61;mf
284;63.82;mf
39;61.92;mf
875;63.65;mf
340;66.16;mf
407;64.48;mf
1136;58.88;mf
755;60.63;mf
968;63.34;mf
696;63.37;mf
180;60.28;mf
1174;62.7;mf
1066;65.08;mf
409;72.49;mf
26;81.01;mf
1080;74.32;mf
672;67.52;mf
618;77.87;mf
674;78.5;mf
989;77.65;mf
535;78.78;mf
649;79.5;mf
634;70.5;mf
935;64;mf
131;58.62;mf
1166;57.9;mf
1027;59.3;mf
568;78.23;mf
1188;73.25;mf
1108;63.63;mf
1000;56.56;mf
486;57.1;mf
520;61.09;mf
882;60.34;mf
121;71.46;mf
733;76.16;mf
36;76.36;mf
925;77.7;mf
1098;71.23;mf
654;72.45;mf
891;70.55;mf
906;67.79;mf
812;71.52;mf
296;76.77;mf
810;76.61;mf
1132;75.32;mf
77;65.03;mf
1078;61.31;mf
345;61.87;mf
1160;81.36;mf
1105;77.36;mf
973;78.34;mf
110;75.81;mf
1030;64.46;mf
670;53.75;mf
153;50.46;mf
1073;52.18;mf
1096;58.5;mf
1149;75.68;mf
1088;79.57;mf
1014;83.83;mf
246;79.59;mf
818;75.19;mf
325;67.65;mf
932;65.81;mf
140;74.41;mf
917;75;mf
