id;temp;type
99;22.92;mf
799;23.22;mf
650;22.09;mf
548;19.22;mf
905;16.49;mf
47;17.09;mf
1150;19.48;mf
109;20.93;mf
1055;19.91;mf
749;18.05;mf
165;18.19;mf
251;18.18;mf
636;18.15;mf
225;18.77;mf
484;19.38;mf
523;19.76;mf
776;18.57;mf
488;18.09;mf
123;18.16;mf
786;19.33;mf
380;19.96;mf
910;20.79;mf
695;20.57;mf
143;19.03;mf
306;18.06;mf
1007;17.58;mf
459;18.41;mf
1176;20.23;mf
82;20.79;mf
1131;20.78;mf
629;20.98;mf
790;18.33;mf
663;16.97;mf
394;19.35;mf
745;14.42;mf
1123;13.82;mf
821;15.11;mf
462;16.93;mf
469;17.31;mf
653;15.44;mf
827;14.44;mf
448;12.99;mf
42;12.66;mf
528;15.4;mf
353;15.48;mf
865;16.6;mf
1172;16.31;mf
360;13.81;mf
235;13.69;mf
775;15.29;mf
764;16.48;mf
772;17.41;mf
1091;18.58;mf
564;19.02;mf
60;17.85;mf
10;16.25;mf
183;15.51;mf
258;15.07;mf
127;15.87;mf
1133;14.97;mf
826;14.21;mf
719;13.32;mf
187;12.94;mf
532;11.91;mf
209;13.07;mf
1185;13.01;mf
726;11.31;mf
631;8.36;mf
547;6.42;mf
774;5.93;mf
177;7.15;mf
426;9.35;mf
12;10.43;mf
1071;9.27;mf
341;8.33;mf
659;9.84;mf
5;12.73;mf
693;11.95;mf
931;11.18;mf
797;10.11;mf
609;11.33;mf
1015;12.49;mf
96;13.1;mf
404;13.4;mf
257;12.28;mf
233;11.03;mf
981;11.26;mf
537;10.12;mf
877;8.04;mf
708;6.58;mf
785;4.38;mf
416;3.9;mf
240;4.66;mf
168;6.32;mf
221;7.35;mf
923;7.9;mf
637;7.04;mf
406;6.71;mf
41;7.13;mf
9;8.86;mf
511;9.97;mf
101;9.16;mf
930;8.92;mf
154;11.67;mf
387;12.82;mf
189;11.26;mf
342;10.1;mf
945;11.79;mf
861;10.65;mf
259;9.64;mf
969;10.51;mf
269;8.37;mf
326;5.19;mf
211;3.92;mf
310;3.26;mf
59;2.55;mf
476;3.33;mf
570;6.59;mf
112;7.3;mf
161;6.47;mf
274;8.14;mf
158;7.85;mf
662;10.18;mf
107;11.41;mf
518;11.19;mf
1059;10.01;mf
405;5.62;mf
723;3.19;mf
1019;3.36;mf
758;4.61;mf
757;4.62;mf
1087;5.57;mf
49;6.44;mf
1016;6.39;mf
845;5.59;mf
300;2.84;mf
214;2.19;mf
1111;3.13;mf
22;3.79;mf
56;4.87;mf
115;6.28;mf
463;4.8;mf
816;2.72;mf
1003;3.04;mf
671;5.52;mf
100;8.47;mf
572;8.4;mf
312;6.07;mf
1126;5.16;mf
457;6.22;mf
1051;3.05;mf
832;3.3;mf
922;4.19;mf
606;2.46;mf
97;2.28;mf
842;2.81;mf
1053;2.22;mf
1064;3.84;mf
580;6.69;mf
343;6.36;mf
933;4.74;mf
551;3.64;mf
985;3.45;mf
78;3.82;mf
247;6.25;mf
244;4.5;mf
556;3.46;mf
970;3.14;mf
304;5.4;mf
210;7.06;mf
4;7.22;mf
721;7.66;mf
902;8.82;mf
208;8.34;mf
381;6.5;mf
1184;5.18;mf
21;4.95;mf
1144;6.53;mf
376;7.66;mf
75;7.98;mf
562;8.93;mf
737;8.22;mf
124;7.46;mf
2;7.3;mf
370;8.32;mf
998;9.81;mf
977;9.85;mf
837;8.68;mf
889;9.29;mf
273;10.48;mf
490;11.13;mf
169;10.5;mf
51;10.13;mf
178;9.9;mf
730;11.2;mf
181;9.84;mf
48;9.57;mf
1187;10.83;mf
465;9.85;mf
1068;8.81;mf
1039;10.78;mf
958;11.45;mf
114;8.16;mf
401;7.86;mf
517;7.94;mf
979;8.94;mf
620;11.18;mf
753;11.44;mf
144;9.04;mf
1127;7.42;mf
399;7.44;mf
541;8.17;mf
284;9.19;mf
39;10.4;mf
875;11.16;mf
340;10.78;mf
407;9.14;mf
1136;8.33;mf
755;8.78;mf
968;9.47;mf
696;10.64;mf
180;11.41;mf
1174;11.54;mf
1066;12.13;mf
409;10.74;mf
26;6.93;mf
1080;6.35;mf
672;8.35;mf
618;8.86;mf
674;9.31;mf
989;10.05;mf
535;10.34;mf
649;10.07;mf
634;9.77;mf
935;8.92;mf
131;8.12;mf
1166;7.36;mf
1027;10.03;mf
568;11.39;mf
1188;12.67;mf
1108;14.84;mf
1000;16.14;mf
486;15.71;mf
520;15.02;mf
882;15.75;mf
121;14.94;mf
733;13.09;mf
36;11.98;mf
925;11.07;mf
1098;11.16;mf
654;10.17;mf
891;10.94;mf
906;12.15;mf
812;12.98;mf
296;12.17;mf
810;11.43;mf
1132;9.46;mf
77;7.73;mf
1078;9.17;mf
345;11.59;mf
1160;12.33;mf
1105;12.59;mf
973;13.7;mf
110;13.31;mf
1030;12.21;mf
670;13.07;mf
153;14.02;mf
1073;13.27;mf
1096;13.13;mf
1149;12.72;mf
1088;12.92;mf
1014;12.72;mf
246;13.66;mf
818;14.62;mf
325;15.73;mf
932;16.43;mf
140;15.9;mf
917;15.89;mf
983;15.87;mf
676;15.84;mf
582;14.09;mf
595;14.23;mf
64;16.35;mf
24;18.22;mf
398;20.35;mf
1159;21.29;mf
1092;18.9;mf
639;19.22;mf
884;15.86;mf
1122;15.07;mf
1103;15.42;mf
964;15.96;mf
1093;16.18;mf
308;15.22;mf
950;13.14;mf
450;14.36;mf
371;16.1;mf
422;17.23;mf
263;16.73;mf
1100;17.62;mf
912;19.67;mf
272;21.46;mf
428;20.31;mf
136;18.27;mf
1101;17.61;mf
379;18.94;mf
706;21.64;mf
741;22.49;mf
122;23.7;mf
480;26.08;mf
544;26.99;mf
1094;25.74;mf
229;25.84;mf
215;23.76;mf
646;21.91;mf
525;22.71;mf
102;22.19;mf
554;23.18;mf
752;24.32;mf
461;23.84;mf
368;22.36;mf
605;21.73;mf
142;20.51;mf
33;21.56;mf
217;21.83;mf
1033;22.09;mf
836;21.59;mf
531;20.88;mf
1089;19.86;mf
264;20.76;mf
1062;21.43;mf
1084;20.98;mf
806;21.97;mf
679;22.37;mf
216;22.69;mf
522;24.63;mf
270;27.31;mf
323;27.39;mf
597;28.11;mf
1075;23.53;mf
687;19.51;mf
507;19.04;mf
588;20.65;mf
1130;20.16;mf
172;19.53;mf
412;20.21;mf
937;21.52;mf
134;22.05;mf
505;22.76;mf
335;22.47;mf
771;22.12;mf
176;21.38;mf
35;23.24;mf
602;23.95;mf
660;21.95;mf
81;19.2;mf
468;18.23;mf
1020;17.6;mf
362;18.8;mf
892;19.64;mf
896;19.72;mf
841;20.48;mf
291;20.93;mf
731;18.77;mf
868;17.91;mf
1050;18.72;mf
585;19.96;mf
46;21.55;mf
53;22.94;mf
237;22.89;mf
222;23.43;mf
894;22.95;mf
825;22.12;mf
574;21.57;mf
70;22.23;mf
823;22.03;mf
756;19.31;mf
201;18.18;mf
281;18.54;mf
996;18.77;mf
130;16.69;mf
590;15.69;mf
79;16.37;mf
